Status,Hostname,Type,Last User,OS,Manufacturer,Internal IP,Site
Online,SRV-DATAS,Server,domrabas\adm-proselisT1,Microsoft Windows Server 2016 Standard 10.0.14393,"VMware, Inc.",172.16.10.3,SOFIRA - CSOFI01
Online,SRV-EXPERT,Server,domrabas\adm-proselisT1,Microsoft Windows Server 2012 R2 Standard 6.3.9600,"VMware, Inc.",172.16.10.8,SOFIRA - CSOFI01
Online,SRV-TOPSMEAN,Server,domrabas\adm-proselisT1,Microsoft Windows Server 2016 Standard 10.0.14393,"VMware, Inc.",172.16.10.9,SOFIRA - CSOFI01
Online,SRV-TSE1,Server,domrabas\p.raby,Microsoft Windows Server 2016 Standard 10.0.14393,"VMware, Inc.",172.16.10.5,SOFIRA - CSOFI01
Online,SRV-WEB,Server,root,Linux Debian GNU/Linux 12 (bookworm),"VMware, Inc.",172.16.10.12,SOFIRA - CSOFI01
Online,SRV-TOPSGRON,Server,domrabas\adm-proselist1,Microsoft Windows Server 2016 Standard 10.0.14393,"VMware, Inc.",172.17.10.2,SOFIRA - CSOFI01
Online,CH-FX-23,Desktop,domrabas\c.rousselle,Microsoft Windows 10 Professionnel 10.0.18363,Dell Inc.,172.16.2.2,SOFIRA - CSOFI01
Online,MN-PT-10,Laptop,domrabas\f.dasse,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,172.16.3.80,SOFIRA - CSOFI01
Offline,PR-FIX-03,Desktop,domrabas\laboratoire,Microsoft Windows 10 Professionnel 10.0.19045,Intel(R) Client Systems,192.168.20.61,SOFIRA - CSOFI01
Online,MN-PT-17,Laptop,domrabas\b.billion,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,172.16.3.86,SOFIRA - CSOFI01
Online,MN-PT-19,Laptop,domrabas\a.merrien,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,172.16.2.43,SOFIRA - CSOFI01
Online,MN-FX-23,Desktop,domrabas\s.moyon,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,172.16.2.35,SOFIRA - CSOFI01
Online,PR-FIX-07,Desktop,domrabas\p.prevaire,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,192.168.20.62,SOFIRA - CSOFI01
Online,GR-FX-14,Desktop,domrabas\jl.chevalier,Microsoft Windows 10 Professionnel 10.0.19045,"Micro-Star International Co., Ltd.",172.17.2.12,SOFIRA - CSOFI01
Online,PR-FIX-02,Desktop,domrabas\atelier2,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,192.168.20.58,SOFIRA - CSOFI01
Online,CH-FX-24,Desktop,domrabas\c.chotard,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,172.16.2.1,SOFIRA - CSOFI01
Online,MN-FX-07,Desktop,domrabas\g.seiller,Microsoft Windows 10 Professionnel 10.0.19045,Dell Inc.,172.16.2.55,SOFIRA - CSOFI01
